Duty Card No,Route Name,Trip Type,Pick Up Time,Drop Off Time,Shift Time
B030,GD05,OUT,16:40,17:14,17:00
B030,GD01,OUT,17:40,18:27,17:00
B030,GD18,IN,19:15,20:20,21:00
B031,GE98,IN,13:21,14:40,15:00
B031,GE95B,OUT,15:40,16:40,15:00
B031,GE27,OUT,17:15,17:30,17:00
B031,GD06,OUT,17:40,18:15,17:00
B031,GE98,IN,18:45,20:50,21:00
B032,GK02A,OUT,15:45,16:09,15:00
B032,DWC10,IN,17:00,18:40,19:00
B032,DWC10,OUT,19:10,21:00,19:00
B032,GE95A,OUT,22:10,23:00,22:00
B033,GD09,OUT,16:00,16:40,15:00
B033,DWC50,IN,16:58,18:40,19:00
B033,DWC50,OUT,19:30,21:00,19:00
B034,GD14,OUT,16:00,16:40,15:00
B034,DWC30,IN,17:13,18:40,19:00
B034,DWC30,OUT,19:15,21:00,19:00
B034,CC,OUT,22:15,22:45,22:00
B034,GD30,IN,22:33,22:45,23:00
B035,GE28,OUT,15:50,16:34,15:00
B035,DWC22,IN,17:07,18:40,19:00
B035,DWC22,OUT,19:30,21:00,19:00
B036,GD23,IN,12:35,13:20,14:00
B036,GK05,OUT,14:20,15:03,14:00
B036,GK06,OUT,15:45,16:15,15:00
B036,GK06,IN,16:50,17:45,18:00
B036,GK06,OUT,18:25,18:55,18:00
B036,DWC31a,OUT,20:10,20:50,20:00
B037,GE95A,IN,11:56,13:10,14:00
B037,GE95A,OUT,13:40,14:40,13:00
B037,GE96,OUT,15:30,16:20,15:00
B037,GK01B,IN,16:35,17:45,18:00
B037,GK02B,OUT,18:25,18:54,18:00
B038,GE98,IN,11:51,13:10,14:00
B038,GE99A,OUT,13:40,14:30,13:00
B038,GE17,OUT,15:31,16:20,15:00
B038,GK02B,IN,17:00,17:45,18:00
B038,GK04,OUT,18:25,19:11,18:00
B039,GK01,OUT,14:20,15:24,14:00
B039,CC,OUT,15:45,16:45,15:00
B039,GE07,IN,15:50,16:10,17:00
